Resolution ID,Resolution Name,Year
A/RES/76/161,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2021
A/RES/76/160,Promotion of equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2021
A/RES/76/155,United Nations Human Rights Training and Documentation Centre for South-West Asia and the Arab Region : resolution / adopted by the General Assembly,2021
A/RES/76/166,The right to food : resolution / adopted by the General Assembly,2021
A/RES/76/165,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2021
A/RES/76/163,The right to development : resolution / adopted by the General Assembly,2021
A/RES/76/162,Human rights and cultural diversity : resolution / adopted by the General Assembly,2021
A/RES/76/175,"Ensuring equitable, affordable, timely and universal access for all countries to vaccines in response to the coronavirus disease (COVID-19) pandemic : resolution / adopted by the General Assembly",2021
A/RES/75/182,The right to development : resolution / adopted by the General Assembly,2020
A/RES/75/189,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2020
A/RES/75/183,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2020
A/RES/75/178,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2020
A/RES/75/179,The right to food : resolution / adopted by the General Assembly,2020
A/RES/75/181,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2020
A/RES/75/177,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2020
A/RES/74/159,Human rights and cultural diversity : resolution / adopted by the General Assembly,2019
A/RES/74/149,The right to food : resolution / adopted by the General Assembly,2019
A/RES/74/150,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2019
A/RES/74/163,United Nations Human Rights Training and Documentation Centre for South-West Asia and the Arab Region : resolution / adopted by the General Assembly,2019
A/RES/74/155,Promotion of equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2019
A/RES/74/152,The right to development  : resolution / adopted by the General Assembly,2019
A/RES/74/154,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2019
A/RES/73/172,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2018
A/RES/73/167,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2018
A/RES/73/175,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2018
A/RES/73/173,"Promotion and protection of human rights and fundamental freedoms, including the rights to peaceful assembly and freedom of association : resolution / adopted by the General Assembly",2018
